"Ticker","DocIndex","IndexLink","Description","FilingDate","NewFilingDate","Form10KLink","Form10KName","FileName","Note"
"AAPL","1","https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000320193-17-000070 (34 Act)  Size: 14 MB","2017-11-03","2017_11_03","https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm","a10-k20179302017.htm","AAPL_1_2017_11_03.htm",""
"AAPL","2","https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001628280-16-020309 (34 Act)  Size: 13 MB","2016-10-26","2016_10_26","https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm","a201610-k9242016.htm","AAPL_2_2016_10_26.htm",""
"AAPL","3","https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-15-356351 (34 Act)  Size: 9 MB","2015-10-28","2015_10_28","https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm","d17062d10k.htm","AAPL_3_2015_10_28.htm",""
"AAPL","4","https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-14-383437 (34 Act)  Size: 12 MB","2014-10-27","2014_10_27","https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm","d783162d10k.htm","AAPL_4_2014_10_27.htm",""
"AAPL","5","https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-13-416534 (34 Act)  Size: 11 MB","2013-10-30","2013_10_30","https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm","d590790d10k.htm","AAPL_5_2013_10_30.htm",""
"AAPL","6","https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-12-444068 (34 Act)  Size: 9 MB","2012-10-31","2012_10_31","https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm","d411355d10k.htm","AAPL_6_2012_10_31.htm",""
"AAPL","7","https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-11-282113 (34 Act)  Size: 9 MB","2011-10-26","2011_10_26","https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm","d220209d10k.htm","AAPL_7_2011_10_26.htm",""
"AAPL","8","https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-10-238044 (34 Act)  Size: 13 MB","2010-10-27","2010_10_27","https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm","d10k.htm","AAPL_8_2010_10_27.htm",""
"AAPL","9","https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-09-214859 (34 Act)  Size: 3 MB","2009-10-27","2009_10_27","https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/d10k.htm","d10k.htm","AAPL_9_2009_10_27.htm",""
"AAPL","10","https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-08-224958 (34 Act)  Size: 1 MB","2008-11-05","2008_11_05","https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/d10k.htm","d10k.htm","AAPL_10_2008_11_05.htm",""
"AAPL","11","https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/0001047469-07-009340-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-07-009340 (34 Act)  Size: 1 MB","2007-11-15","2007_11_15","https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm","a2181030z10-k.htm","AAPL_11_2007_11_15.htm",""
"AAPL","12","https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/0001104659-06-084288-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-06-084288 (34 Act)  Size: 4 MB","2006-12-29","2006_12_29","https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm","a06-25759_210k.htm","AAPL_12_2006_12_29.htm",""
"AAPL","13","https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/0001104659-05-058421-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-05-058421 (34 Act)  Size: 3 MB","2005-12-01","2005_12_01","https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm","a05-20674_110k.htm","AAPL_13_2005_12_01.htm",""
"AAPL","14","https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/0001047469-04-035975-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-04-035975 (34 Act)  Size: 966 KB","2004-12-03","2004_12_03","https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm","a2147337z10-k.htm","AAPL_14_2004_12_03.htm",""
"AAPL","15","https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/0001047469-03-041604-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-03-041604 Size: 2 MB","2003-12-19","2003_12_19","https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm","a2124888z10-k.htm","AAPL_15_2003_12_19.htm",""
