"Ticker","DocIndex","IndexLink","Description","FilingDate","NewFilingDate"
"AAPL",1,"https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000320193-17-000070 (34 Act)  Size: 14 MB","2017-11-03","2017_11_03"
"AAPL",2,"https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001628280-16-020309 (34 Act)  Size: 13 MB","2016-10-26","2016_10_26"
"AAPL",3,"https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-15-356351 (34 Act)  Size: 9 MB","2015-10-28","2015_10_28"
"AAPL",4,"https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-14-383437 (34 Act)  Size: 12 MB","2014-10-27","2014_10_27"
"AAPL",5,"https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-13-416534 (34 Act)  Size: 11 MB","2013-10-30","2013_10_30"
"AAPL",6,"https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-12-444068 (34 Act)  Size: 9 MB","2012-10-31","2012_10_31"
"AAPL",7,"https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-11-282113 (34 Act)  Size: 9 MB","2011-10-26","2011_10_26"
"AAPL",8,"https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-10-238044 (34 Act)  Size: 13 MB","2010-10-27","2010_10_27"
"AAPL",9,"https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-09-214859 (34 Act)  Size: 3 MB","2009-10-27","2009_10_27"
"AAPL",10,"https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-08-224958 (34 Act)  Size: 1 MB","2008-11-05","2008_11_05"
"AAPL",11,"https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/0001047469-07-009340-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-07-009340 (34 Act)  Size: 1 MB","2007-11-15","2007_11_15"
"AAPL",12,"https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/0001104659-06-084288-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-06-084288 (34 Act)  Size: 4 MB","2006-12-29","2006_12_29"
"AAPL",13,"https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/0001104659-05-058421-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001104659-05-058421 (34 Act)  Size: 3 MB","2005-12-01","2005_12_01"
"AAPL",14,"https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/0001047469-04-035975-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-04-035975 (34 Act)  Size: 966 KB","2004-12-03","2004_12_03"
"AAPL",15,"https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/0001047469-03-041604-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-03-041604 Size: 2 MB","2003-12-19","2003_12_19"
"AAPL",16,"https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/0001047469-02-007674-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-02-007674 Size: 895 KB","2002-12-19","2002_12_19"
"AAPL",17,"https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/0000912057-00-053623-index.htm","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000912057-00-053623 Size: 310 KB","2000-12-14","2000_12_14"
"AAPL",18,"https://www.sec.gov/Archives/edgar/data/320193/0000912057-99-010244-index.html","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0000912057-99-010244 Size: 502 KB","1999-12-22","1999_12_22"
"AAPL",19,"https://www.sec.gov/Archives/edgar/data/320193/0001047469-97-006960-index.html","Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001047469-97-006960 Size: 639 KB","1997-12-05","1997_12_05"
