Ticker,Name
ADP,AUTOMATIC DATA PROCESSING
ACXM,ACXIOM CORP
3CRIX,COMPUTER RESEARCH INC
DST,DST SYSTEMS INC
DTAB10,DATATAB INC
NLCS,NATIONAL COMPUTER SYS INC
SAND.1,SANDATA TECHNOLOGIES INC
FISV,FISERV INC
CLGX,CORELOGIC INC
CMPD,COMPUMED INC
HTAC,HEALTHTRAC INC
HAWK,BLACKHAWK NETWORK HLDGS INC
QIWI,QIWI PLC
WWWW.1,WEB.COM INC
TLPY,TELUPAY INTERNATIONAL INC
HAXS,BPO MANAGEMENT SERVICES/PA
ATTO,ATENTO SA
TF,TRANSFIRST HLDGS INC-REDH
VGGOF,VOGOGO INC
CCRC,CHINA CUSTOMER RELATNS  CTRS
ADS.P,ALLIANCE DATA SYS -PRO FORMA
PYPL,PAYPAL HOLDINGS INC
IUSA,INFOGROUP INC
FDC,FIRST DATA CORP
MEDQ,MEDQUIST INC
DSEN,DATASCENSION INC
SQ,SQUARE INC
DS.1,DATAWEST SOLUTIONS INC
AMQ,AMERIQUEST INC -REDH
IFOX,INFOCROSSING INC
GAIMF,DEALNET CAPITAL CORP
MXW.1,MINACS WORLDWIDE INC
CCN,CARDCONNECT CORP
PILLQ,PROXYMED INC
INOD,INNODATA INC
CNDT,CONDUENT INC
CLNFF,CALIAN GROUP LTD
STCN,STEEL CONNECT INC
ACS,AFFILIATED COMPUTER SERVICES
XELA,EXELA TECHNOLOGIES INC
PAGS,PAGSEGURO DIGITAL LTD
EVOP,EVO PAYMENTS INC
IIIV,I3 VERTICALS INC
CSGS,CSG SYSTEMS INTL INC
ALJJ,ALJ REGIONAL HOLDINGS INC
SYKE,SYKES ENTERPRISES INC
MGTI,MGT CAPITAL INVESTMENTS INC
3BPOM,BPO MANAGEMENT SERVICES/DE
ANET.1,AUTHORIZE.NET HOLDINGS INC
IGTE,IGATE CORP
UEPS,NET 1 UEPS TECHNOLOGIES INC
AWWC,ACCESS WORLDWIDE CMMNCTNS
TPNL,3PEA INTERNATIONAL INC
ETSM,ELECTRONIC TRANSMISSION CORP
INOC.1,INNOTRAC CORP
TRDO,INTRADO INC
CTQN,CASH TECHNOLOGIES INC
CVNSQ,CONVERSION SERVICES INTL INC
CTEK,CYNERGISTEK INC
ORCC,ONLINE RESOURCES CORP
TNCGF,TIO NETWORKS CORP
CYBS,CYBERSOURCE CORP
ENVG,MONSTERDAATA INC
INAP,INTERNAP CORP
LTWC,LTWC CORP
NAVI.1,NAVISITE INC
PFSW,PFSWEB INC
NEOF,NEOFORMA INC
EFD.1,EFUNDS CORP
MVNT.1,METAVANTE CORP
TNET,TRINET GROUP INC
MZBY.1,MEZABAY INTERNATIONAL -OLD
GPN,GLOBAL PAYMENTS INC
ADS,ALLIANCE DATA SYSTEMS CORP
PYPL.1,PAYPAL INC
DHIFF,DH CORP
HEW,HEWITT ASSOCIATES INC
APAY,ADVANTAGE PAYROLL SVCS -REDH
OLNK,ONELINK CORP
3CLGS,COLLEGIS INC-REDH
ACIE,ACIES CORP
TNS,TNS INC
WS.4,WORLDSPAN TECHNOL INC-REDH
FIS.3,FIDELITY NATL INFO SVC-REDH
WEX,WEX INC
EXLS,EXLSERVICE HOLDINGS INC
0721B,GXS CORP
NETE,NET ELEMENT INC
TRXI,TRX INC
FIS,FIDELITY NATIONAL INFO SVCS
0117A,SPHERIS INC
WNS,WNS (HOLDINGS) LTD -ADR
EM.3,EMDEON INC
III,INFORMATION SERVICES GROUP
ETELY,ETELECARE GLOBAL SOLUTION
HIRE,HIRERIGHT INC
G,GENPACT LTD
SGS,STREAM GLOBAL SERVICES INC
PTOI,PLASTIC2OIL INC
SOH,SOI HOLDINGS INC-REDH
VRLI,VAROLII CORP-REDH
BKI,BLACK KNIGHT INC
RPMT,REGO PAYMENT ARCHITECTES INC
MOMT,MONEYONMOBILE INC
IDWAF,ID WATCHDOG INC
HPRT,HEALTHPORT INC  -REDH
VPYYF,VERSAPAY CORP
ADFT,ADFITECH INC
FLT,FLEETCOR TECHNOLOGIES INC
EVTC,EVERTEC INC
RAYS,RAYSTREAM INC
CDFT,CITADEL EFT INC
WP,WORLDPAY INC
RBO.Z,RESOLVE BUSINESS OUTSOURCING
PLPM,PLANET PAYMENT INC
MODL,MMODAL INC
NQLIQ,NQL INC
SNTO,SENTO CORP
3ATRC,AUTO-TROL TECHNOLOGY CORP
BLLI,BELL INDUSTRIES INC
UIS,UNISYS CORP
CSPI,CSP INC
6534C,TELOS CORP/MD
CACI,CACI INTL INC  -CL A
LLB,COMPUTRAC INC
APYI,ASPYRA INC
DKEY,DATAKEY INC
DRCO,DYNAMICS RESEARCH CORP
TGBRY,ORMINEX LTD
HALX,HALIFAX CORP
ISOL,1MAGE SOFTWARE INC
INTF.1,INTERFACE SYSTEMS INC
MENT,MENTOR GRAPHICS CORP
MCRS,MICROS SYSTEMS INC
NIPNY,NEC CORP
NEST,NESTOR INC
REY,REYNOLDS & REYNOLDS  -CL A
SMS.2,SHARED MEDICAL SYSTEMS CORP
FFTI.1,4FRONT TECHNOLOGIES INC
DHTI,DYNAMIC HEALTHCARE TECH INC
TTN,TITAN CORP
TYL,TYLER TECHNOLOGIES INC
IDNX,IDENTIX INC
JKHY,HENRY (JACK) & ASSOCIATES
3GEAA,GREATE BAY CASINO CORP
